Category,Country,Age,Gender,Before-Environment,Before-ClassworkStress,Before-HomeworkStress,Before-HomeworkHours,Now-Environment,Now-ClassworkStress,Now-HomeworkStress,Now-HomeworkHours,FamilyRelationships,FriendRelationships,Cluster_Group
3,8,17.0,2,3,2.0,3.0,1.0,0,3.0,5.0,2.0,0.0,0.0,0
3,15,17.0,2,3,4.0,5.0,5.0,5,1.0,5.0,2.0,-1.0,-3.0,0
4,15,17.0,0,3,1.0,3.0,3.0,5,3.0,5.0,4.0,1.0,-2.0,1
3,16,15.0,2,3,2.0,3.0,0.0,0,4.0,3.0,2.0,-1.0,1.0,0
3,8,17.0,0,3,4.0,4.0,2.5,0,6.0,6.0,5.0,-2.0,-1.0,0
3,13,17.0,0,3,2.0,3.0,0.0,5,36.25,1.0,2.0,0.0,0.0,1
4,15,15.0,0,3,2.0,1.0,0.0,0,5.0,5.0,3.0,3.0,-5.5,1
3,15,16.0,0,3,1.0,2.0,1.0,5,6.0,6.0,2.0,1.0,-3.0,1
3,8,15.0,2,3,3.0,4.0,1.0,0,5.0,5.0,1.0,-1.0,2.0,0
5,4,21.0,2,3,2.0,5.0,4.0,5,2.0,6.0,6.0,-1.0,1.0,0
3,16,16.0,2,3,2.0,2.0,1.0,7,4.0,4.0,46.125,1.0,2.0,2
3,8,15.0,2,3,3.0,4.0,2.0,3,5.0,4.0,3.0,1.0,2.0,1
3,15,19.0,0,0,1.0,4.0,2.0,5,2.0,5.0,5.0,0.0,0.0,0
3,16,16.0,0,3,6.0,4.0,2.0,3,6.0,5.0,1.0,1.0,-3.0,1
3,10,20.0,0,3,2.0,2.0,3.0,5,4.0,4.0,4.0,0.0,-1.0,0
3,0,22.0,0,5,2.0,1.0,1.0,6,3.0,3.0,1.0,2.0,0.0,1
3,6,21.0,0,3,2.0,3.0,3.0,5,2.0,4.0,4.0,1.0,-1.0,1
3,15,14.0,2,3,1.0,3.0,2.0,5,36.25,5.0,4.5,2.0,-1.0,1
3,15,13.0,2,3,5.0,4.0,2.0,5,3.0,5.0,2.5,1.0,-2.0,1
0,15,16.0,0,6,1.0,3.0,10.0,5,3.0,5.0,15.0,1.0,-1.0,0
3,15,17.0,2,3,4.0,4.0,6.0,3,5.0,1.0,6.0,0.0,-2.0,0
3,17,14.0,2,3,3.0,4.0,4.0,4,5.0,5.0,6.0,0.0,1.0,0
3,15,17.0,2,3,1.0,1.0,3.0,5,5.0,6.0,14.0,2.0,-2.0,1
3,15,18.0,0,3,2.0,30.5,3.0,5,3.0,5.0,6.0,-2.0,-1.0,0
3,15,17.0,2,7,1.0,3.0,3.0,5,36.25,5.0,5.0,0.0,-3.0,1
0,15,16.0,0,0,3.0,3.0,3.0,0,2.0,4.0,1.0,-3.0,2.0,0
3,15,15.0,0,3,2.0,2.0,1.0,5,1.0,2.0,5.0,1.0,-1.0,1
1,15,18.0,2,0,3.0,2.0,4.0,5,4.0,3.0,4.0,0.0,-5.5,1
0,15,15.0,0,3,2.0,3.0,4.0,5,4.0,5.0,8.0,-1.0,-1.0,0
0,15,14.0,0,5,1.0,1.0,3.0,5,5.0,6.0,5.0,0.0,2.0,0
3,15,15.0,0,3,2.0,2.0,4.0,5,2.0,3.0,7.0,0.0,2.0,0
4,15,15.0,0,3,2.0,3.0,5.0,5,6.0,6.0,7.0,-1.0,-1.0,0
3,15,14.0,0,3,5.0,4.0,9.0,5,6.0,5.0,10.0,-1.0,-3.0,0
3,15,15.0,0,3,0.0,0.0,0.0,5,3.0,3.0,6.0,2.0,0.0,1
3,15,17.0,0,7,3.0,5.0,3.5,3,3.0,2.0,1.5,0.0,0.0,0
5,15,14.0,2,3,4.0,4.0,1.0,5,36.25,4.0,2.0,1.0,2.0,1
4,16,14.0,5,3,2.0,5.0,2.0,5,4.0,5.0,4.0,-1.0,-3.0,0
5,15,16.0,0,3,23.75,5.0,4.0,5,2.0,4.0,4.0,1.0,-1.0,0
3,8,20.0,2,3,3.0,4.0,3.0,5,3.0,5.0,5.0,-1.0,0.0,0
3,2,15.0,0,3,1.0,1.0,1.0,0,2.0,5.0,8.0,0.0,2.0,0
3,8,17.0,2,3,2.0,3.0,1.0,7,3.0,5.0,2.0,0.0,0.0,0
3,15,17.0,2,3,4.0,5.0,5.0,5,1.0,5.0,2.0,-1.0,-3.0,0
3,15,17.0,5,3,1.0,3.0,3.0,5,3.0,5.0,4.0,1.0,-2.0,1
3,15,15.0,0,3,2.0,3.0,0.0,0,4.0,3.0,2.0,-1.0,1.0,0
3,8,17.0,0,4,4.0,30.5,2.5,0,6.0,6.0,5.0,-2.0,-1.0,0
3,13,17.0,0,3,2.0,3.0,0.0,5,1.0,1.0,2.0,0.0,0.0,1
3,15,15.0,0,3,2.0,1.0,28.0,0,5.0,5.0,3.0,3.0,-3.0,1
3,15,16.0,0,3,1.0,2.0,1.0,5,6.0,6.0,2.0,1.0,-3.0,1
3,17,15.0,2,3,3.0,4.0,1.0,0,5.0,5.0,1.0,-1.0,2.0,0
3,4,21.0,2,3,2.0,5.0,4.0,5,2.0,6.0,6.0,-1.0,1.0,0
3,16,16.0,2,3,2.0,2.0,1.0,5,4.0,4.0,1.0,1.0,2.0,1
3,8,15.0,2,3,3.0,4.0,2.0,3,5.0,4.0,3.0,1.0,2.0,1
3,15,19.0,0,0,1.0,4.0,2.0,5,2.0,5.0,5.0,0.0,0.0,0
3,15,16.0,0,3,6.0,4.0,2.0,3,6.0,5.0,1.0,1.0,-3.0,1
3,10,20.0,0,3,2.0,2.0,3.0,5,4.0,4.0,4.0,0.0,-1.0,0
3,0,22.0,0,7,2.0,1.0,1.0,5,3.0,3.0,1.0,2.0,0.0,1
3,6,21.0,0,3,2.0,3.0,3.0,5,2.0,4.0,4.0,1.0,-1.0,1
3,17,14.0,2,3,1.0,30.5,2.0,5,3.0,5.0,4.5,2.0,-1.0,0
3,16,13.0,2,3,5.0,4.0,2.0,5,3.0,5.0,2.5,1.0,-2.0,1
0,15,16.0,0,5,1.0,30.5,10.0,5,3.0,5.0,15.0,1.0,-1.0,0
3,15,17.0,2,3,4.0,4.0,6.0,3,5.0,1.0,6.0,0.0,-2.0,0
3,8,14.0,2,3,3.0,4.0,4.0,3,5.0,5.0,6.0,0.0,1.0,0
3,15,17.0,2,3,1.0,1.0,3.0,5,5.0,6.0,14.0,2.0,-2.0,1
3,15,18.0,0,4,2.0,3.0,3.0,5,3.0,5.0,6.0,-2.0,-1.0,0
3,15,163.75,2,3,1.0,3.0,3.0,5,5.0,5.0,5.0,0.0,-3.0,0
5,15,16.0,0,0,3.0,3.0,3.0,1,2.0,4.0,1.0,-3.0,2.0,0
3,15,15.0,0,3,2.0,2.0,1.0,5,1.0,2.0,5.0,1.0,-1.0,1
0,15,18.0,2,0,3.0,2.0,4.0,5,4.0,3.0,4.0,0.0,-2.0,0
0,15,15.0,0,3,2.0,3.0,4.0,5,4.0,5.0,8.0,-1.0,-1.0,0
0,15,14.0,0,5,1.0,1.0,3.0,5,5.0,6.0,5.0,0.0,2.0,0
4,16,15.0,0,3,2.0,2.0,4.0,5,2.0,3.0,7.0,0.0,2.0,0
3,17,15.0,0,3,2.0,3.0,5.0,5,6.0,6.0,7.0,-1.0,-1.0,0
3,17,14.0,0,4,5.0,4.0,9.0,5,6.0,5.0,10.0,-1.0,-3.0,0
3,16,15.0,0,3,0.0,0.0,0.0,6,3.0,3.0,6.0,2.0,0.0,1
3,15,17.0,0,3,3.0,5.0,3.5,3,3.0,2.0,1.5,0.0,0.0,0
3,15,14.0,3,7,4.0,4.0,1.0,5,4.0,4.0,2.0,1.0,2.0,1
3,15,14.0,5,3,2.0,5.0,2.0,5,4.0,5.0,46.125,-1.0,-3.0,2
3,17,16.0,1,3,3.0,5.0,4.0,5,2.0,4.0,4.0,1.0,-1.0,1
3,8,20.0,2,3,3.0,4.0,3.0,5,3.0,5.0,5.0,-1.0,0.0,0
3,2,15.0,0,3,1.0,1.0,1.0,0,2.0,5.0,8.0,0.0,2.0,0
3,8,17.0,2,3,2.0,3.0,1.0,0,3.0,5.0,2.0,0.0,0.0,0
3,15,17.0,2,4,4.0,5.0,5.0,5,1.0,5.0,46.125,-1.0,-3.0,2
5,15,17.0,5,3,1.0,3.0,3.0,5,3.0,5.0,4.0,1.0,-2.0,1
3,15,15.0,2,3,2.0,3.0,0.0,0,4.0,3.0,46.125,-1.0,1.0,2
3,8,17.0,0,3,4.0,4.0,2.5,0,6.0,6.0,5.0,-2.0,-1.0,0
3,13,17.0,0,3,2.0,3.0,0.0,5,1.0,1.0,2.0,0.0,0.0,1
3,15,15.0,0,3,2.0,1.0,0.0,7,5.0,5.0,46.125,3.0,-3.0,2
3,15,16.0,0,3,1.0,2.0,1.0,2,6.0,6.0,2.0,1.0,-3.0,1
3,8,15.0,2,7,3.0,4.0,28.0,0,5.0,5.0,1.0,-1.0,2.0,0
3,4,21.0,2,3,2.0,5.0,4.0,5,2.0,6.0,6.0,-1.0,1.0,0
3,15,16.0,2,3,2.0,2.0,1.0,5,4.0,4.0,1.0,1.0,2.0,1
3,8,15.0,2,3,3.0,4.0,2.0,7,5.0,4.0,3.0,1.0,2.0,1
3,15,19.0,0,0,23.75,4.0,2.0,5,2.0,5.0,5.0,0.0,0.0,0
3,15,16.0,0,3,6.0,4.0,2.0,3,6.0,5.0,1.0,1.0,-3.0,1
3,10,20.0,0,3,2.0,2.0,3.0,5,4.0,4.0,4.0,0.0,-1.0,0
3,0,22.0,0,5,2.0,1.0,1.0,5,3.0,3.0,1.0,2.0,0.0,1
3,6,21.0,0,3,2.0,3.0,3.0,7,2.0,4.0,4.0,1.0,-1.0,1
3,15,14.0,0,3,1.0,3.0,2.0,5,3.0,5.0,4.5,2.0,-1.0,1
4,15,13.0,2,3,5.0,4.0,2.0,5,3.0,5.0,2.5,1.0,-2.0,1
0,15,16.0,0,5,1.0,3.0,10.0,5,3.0,5.0,15.0,1.0,-1.0,0
3,15,17.0,2,3,4.0,4.0,6.0,3,5.0,1.0,6.0,0.0,-2.0,0
3,8,14.0,2,3,3.0,4.0,4.0,3,5.0,5.0,6.0,0.0,1.0,0
3,15,17.0,2,3,1.0,1.0,3.0,5,5.0,6.0,14.0,2.0,-2.0,1
3,16,18.0,0,3,2.0,3.0,3.0,5,3.0,5.0,6.0,-2.0,-1.0,0
3,15,163.75,2,3,1.0,3.0,3.0,5,5.0,5.0,5.0,0.0,-3.0,0
5,15,16.0,0,0,3.0,3.0,3.0,0,2.0,4.0,1.0,-3.0,2.0,0
3,15,15.0,0,3,2.0,2.0,1.0,5,1.0,2.0,5.0,1.0,-1.0,1
0,15,18.0,3,0,3.0,2.0,4.0,5,4.0,3.0,4.0,0.0,-2.0,0
5,15,15.0,0,3,2.0,3.0,4.0,5,4.0,5.0,8.0,-1.0,-1.0,0
1,15,14.0,0,5,1.0,1.0,3.0,5,5.0,6.0,5.0,0.0,2.0,0
4,15,15.0,0,3,2.0,2.0,4.0,5,2.0,43.75,7.0,0.0,2.0,0
3,15,15.0,0,3,2.0,3.0,5.0,5,6.0,6.0,7.0,-1.0,-1.0,0
3,15,14.0,0,3,5.0,4.0,9.0,5,6.0,5.0,10.0,-1.0,-3.0,0
3,15,15.0,0,3,0.0,0.0,0.0,5,36.25,3.0,6.0,2.0,0.0,1
3,15,17.0,0,3,23.75,5.0,3.5,3,3.0,2.0,1.5,0.0,0.0,0
3,15,14.0,2,3,4.0,4.0,1.0,5,4.0,4.0,2.0,1.0,2.0,1
3,15,14.0,5,3,2.0,5.0,2.0,5,4.0,5.0,4.0,-1.0,-3.0,0
3,15,16.0,0,3,3.0,5.0,4.0,5,2.0,4.0,4.0,1.0,-1.0,1
3,8,20.0,2,3,23.75,4.0,3.0,5,3.0,5.0,5.0,-1.0,0.0,0
3,2,15.0,0,7,1.0,1.0,1.0,0,2.0,5.0,8.0,0.0,2.0,0
3,8,17.0,2,3,2.0,3.0,1.0,0,3.0,5.0,2.0,0.0,0.0,0
3,16,17.0,2,3,4.0,5.0,5.0,5,1.0,5.0,2.0,-1.0,-3.0,0
3,15,17.0,5,3,1.0,3.0,3.0,5,3.0,5.0,4.0,1.0,-2.0,1
3,15,15.0,2,3,2.0,3.0,0.0,0,4.0,3.0,2.0,-1.0,1.0,0
3,8,17.0,0,3,4.0,4.0,2.5,0,6.0,6.0,5.0,-2.0,-1.0,0
3,13,17.0,0,3,2.0,3.0,0.0,5,1.0,1.0,2.0,0.0,0.0,1
3,15,15.0,0,3,2.0,1.0,0.0,0,5.0,5.0,3.0,3.0,-3.0,1
3,15,16.0,0,3,1.0,2.0,1.0,5,6.0,6.0,2.0,1.0,-3.0,1
3,8,15.0,2,3,3.0,4.0,1.0,0,5.0,5.0,1.0,-1.0,2.0,0
3,17,21.0,2,3,2.0,5.0,4.0,5,2.0,6.0,6.0,-1.0,1.0,0
3,15,16.0,2,3,2.0,2.0,1.0,6,4.0,4.0,1.0,1.0,2.0,1
3,8,15.0,2,3,3.0,4.0,2.0,3,5.0,4.0,3.0,1.0,2.0,1
3,15,19.0,0,0,1.0,4.0,2.0,7,2.0,5.0,5.0,0.0,0.0,0
3,15,16.0,0,3,6.0,4.0,2.0,7,6.0,5.0,1.0,1.0,-3.0,1
3,10,20.0,0,3,2.0,2.0,3.0,5,4.0,4.0,4.0,0.0,-1.0,0
3,0,22.0,0,5,2.0,1.0,1.0,5,3.0,3.0,1.0,2.0,0.0,1
3,6,21.0,0,3,2.0,3.0,3.0,5,2.0,4.0,4.0,1.0,-1.0,1
3,15,14.0,2,3,1.0,30.5,2.0,7,3.0,5.0,4.5,2.0,-1.0,0
3,15,13.0,2,3,5.0,4.0,2.0,5,3.0,5.0,2.5,1.0,-2.0,1
0,15,16.0,0,5,1.0,3.0,10.0,5,3.0,5.0,15.0,1.0,-1.0,0
3,15,17.0,2,3,4.0,4.0,6.0,3,5.0,1.0,6.0,0.0,-2.0,0
3,8,14.0,2,3,3.0,4.0,28.0,3,5.0,5.0,6.0,0.0,1.0,0
5,15,17.0,0,3,1.0,1.0,3.0,5,5.0,6.0,14.0,2.0,-2.0,1
3,15,18.0,0,3,2.0,3.0,3.0,5,3.0,5.0,6.0,-2.0,-1.0,0
3,15,17.0,2,3,1.0,3.0,3.0,5,5.0,5.0,5.0,0.0,-3.0,0
5,17,16.0,0,0,3.0,3.0,3.0,0,2.0,4.0,1.0,-3.0,2.0,0
3,15,15.0,0,3,2.0,2.0,1.0,5,1.0,2.0,5.0,1.5,-1.0,1
0,15,18.0,2,0,3.0,2.0,4.0,5,4.0,3.0,4.0,1.5,-2.0,1
0,15,15.0,0,3,2.0,3.0,4.0,5,4.0,5.0,8.0,-1.0,-1.0,0
0,15,14.0,0,5,1.0,1.0,3.0,5,5.0,6.0,5.0,0.0,2.0,0
3,15,163.75,0,3,2.0,2.0,4.0,5,2.0,3.0,7.0,0.0,2.0,0
3,15,15.0,0,3,2.0,3.0,5.0,5,6.0,6.0,7.0,-1.0,-1.0,0
3,15,14.0,0,3,5.0,4.0,9.0,5,6.0,5.0,10.0,-1.0,-3.0,0
3,15,15.0,0,3,0.0,0.0,0.0,5,3.0,3.0,6.0,2.0,0.0,1
3,15,17.0,0,3,3.0,5.0,3.5,3,3.0,2.0,1.5,0.0,0.0,0
3,15,14.0,2,3,4.0,4.0,1.0,5,4.0,4.0,2.0,1.0,2.0,1
3,15,14.0,5,3,2.0,5.0,2.0,5,4.0,5.0,4.0,-1.0,-3.0,0
3,15,16.0,0,3,3.0,5.0,4.0,5,2.0,4.0,4.0,1.0,-1.0,1
3,8,20.0,2,3,3.0,4.0,3.0,5,3.0,5.0,5.0,-1.0,0.0,0
3,2,15.0,0,3,1.0,1.0,1.0,0,2.0,5.0,46.125,0.0,2.0,2
3,8,17.0,2,3,2.0,3.0,1.0,0,3.0,5.0,2.0,0.0,0.0,0
3,12,17.0,2,3,4.0,5.0,5.0,5,1.0,5.0,2.0,-1.0,-3.0,0
3,16,17.0,5,3,1.0,3.0,3.0,5,3.0,43.75,4.0,1.0,-2.0,0
3,15,15.0,2,3,2.0,3.0,0.0,0,4.0,43.75,2.0,-1.0,1.0,0
3,8,17.0,0,3,4.0,4.0,2.5,0,6.0,6.0,5.0,-2.0,-1.0,0
3,13,17.0,0,3,2.0,3.0,0.0,5,1.0,1.0,2.0,0.0,0.0,1
3,15,15.0,0,7,2.0,1.0,0.0,0,5.0,5.0,3.0,3.0,-3.0,1
3,15,16.0,0,3,1.0,30.5,1.0,5,6.0,6.0,2.0,1.0,-3.0,0
3,8,15.0,2,3,3.0,4.0,1.0,0,5.0,5.0,1.0,-1.0,2.0,0
3,4,21.0,2,7,2.0,5.0,4.0,5,2.0,6.0,6.0,-1.0,1.0,0
3,15,16.0,2,3,2.0,2.0,1.0,5,4.0,4.0,1.0,1.0,2.0,1
3,8,15.0,3,3,3.0,4.0,2.0,3,5.0,4.0,3.0,1.0,2.0,1
4,15,19.0,0,0,1.0,4.0,2.0,5,2.0,5.0,5.0,0.0,0.0,0
3,15,16.0,0,3,6.0,4.0,2.0,3,6.0,5.0,1.0,1.0,-3.0,1
5,10,20.0,0,3,2.0,2.0,3.0,5,4.0,4.0,4.0,0.0,-1.0,0
4,0,22.0,0,5,2.0,1.0,1.0,5,3.0,3.0,1.0,2.0,0.0,1
3,7,21.0,0,3,2.0,3.0,3.0,7,2.0,4.0,4.0,1.0,-1.0,1
3,15,14.0,2,3,1.0,3.0,2.0,5,3.0,5.0,4.5,2.0,-1.0,1
3,15,13.0,2,3,5.0,4.0,2.0,5,3.0,5.0,2.5,1.0,-2.0,1
0,15,16.0,0,5,1.0,3.0,10.0,5,3.0,5.0,15.0,1.0,-1.0,0
3,15,17.0,2,3,4.0,4.0,6.0,3,5.0,1.0,6.0,0.0,-5.5,0
5,8,14.0,2,3,3.0,4.0,4.0,3,5.0,5.0,6.0,0.0,1.0,0
3,15,17.0,2,3,1.0,1.0,3.0,5,5.0,6.0,14.0,2.0,-2.0,1
3,15,18.0,0,3,2.0,3.0,3.0,5,3.0,5.0,6.0,1.5,-1.0,1
3,15,17.0,2,3,1.0,3.0,3.0,5,5.0,5.0,5.0,0.0,-3.0,0
0,15,16.0,0,0,3.0,3.0,3.0,1,2.0,4.0,1.0,-3.0,2.0,0
3,17,15.0,0,3,2.0,2.0,1.0,5,1.0,2.0,5.0,1.0,-1.0,1
0,16,18.0,2,0,3.0,2.0,4.0,5,4.0,3.0,4.0,0.0,-2.0,0
0,15,15.0,1,3,2.0,3.0,4.0,5,4.0,5.0,46.125,-1.0,-1.0,2
0,17,14.0,0,5,1.0,1.0,3.0,5,5.0,6.0,5.0,0.0,2.0,0
3,15,15.0,0,3,2.0,2.0,4.0,5,2.0,3.0,7.0,0.0,2.0,0
3,15,15.0,1,3,2.0,3.0,5.0,5,6.0,6.0,7.0,-1.0,-1.0,0
3,17,14.0,0,3,5.0,4.0,9.0,5,6.0,5.0,10.0,-1.0,-3.0,0
3,15,15.0,0,3,0.0,0.0,0.0,5,3.0,43.75,6.0,2.0,0.0,1
3,15,17.0,0,3,3.0,5.0,3.5,7,3.0,2.0,1.5,0.0,0.0,0
3,15,14.0,2,4,4.0,4.0,1.0,5,4.0,4.0,2.0,1.0,2.0,1
3,15,14.0,5,3,2.0,5.0,2.0,5,4.0,5.0,4.0,-1.0,-3.0,0
3,15,16.0,0,3,3.0,5.0,4.0,5,2.0,4.0,4.0,1.0,-1.0,1
3,8,20.0,2,3,3.0,4.0,3.0,5,3.0,5.0,5.0,-1.0,0.0,0
3,2,15.0,0,3,1.0,1.0,1.0,0,2.0,5.0,8.0,0.0,2.0,0
3,8,17.0,2,3,2.0,3.0,1.0,0,3.0,5.0,2.0,0.0,0.0,0
3,15,17.0,2,3,4.0,5.0,5.0,5,1.0,5.0,2.0,-1.0,-3.0,0
3,17,17.0,5,3,1.0,3.0,3.0,5,3.0,5.0,4.0,1.0,-2.0,1
3,15,15.0,2,3,2.0,3.0,0.0,0,4.0,3.0,2.0,-1.0,1.0,0
3,8,17.0,0,3,4.0,4.0,2.5,0,6.0,6.0,5.0,-2.0,-1.0,0
3,13,17.0,0,3,2.0,3.0,0.0,5,1.0,1.0,2.0,0.0,0.0,1
3,15,15.0,0,3,2.0,1.0,0.0,0,5.0,5.0,3.0,3.0,-3.0,1
3,16,16.0,0,3,1.0,2.0,1.0,5,6.0,6.0,2.0,1.0,-3.0,1
3,8,15.0,2,3,3.0,4.0,1.0,0,5.0,5.0,1.0,-1.0,2.0,0
3,4,21.0,2,3,2.0,5.0,4.0,5,2.0,6.0,6.0,-1.0,1.0,0
3,15,16.0,2,3,2.0,2.0,1.0,5,4.0,4.0,1.0,1.0,2.0,1
3,8,15.0,2,3,3.0,4.0,2.0,3,5.0,4.0,3.0,1.0,2.0,1
3,15,19.0,0,0,1.0,30.5,2.0,5,2.0,5.0,5.0,0.0,0.0,0
3,15,16.0,0,3,6.0,4.0,2.0,3,6.0,5.0,1.0,1.0,-3.0,1
3,10,20.0,0,3,2.0,2.0,3.0,5,4.0,4.0,4.0,0.0,-1.0,0
3,0,22.0,0,5,2.0,1.0,1.0,5,3.0,3.0,1.0,2.0,0.0,1
3,6,21.0,1,7,2.0,30.5,3.0,5,2.0,4.0,46.125,1.0,-1.0,2
3,15,14.0,0,3,1.0,3.0,2.0,5,3.0,5.0,4.5,2.0,-1.0,1
